time,x,vx,u0,roll,roll_sp,gx,y,vy,u1,pitch,pitch_sp,gy,yaw,yaw_sp,u2,z,vz,tm,rollgain,pitchgain,gxgain,gygain,s0,s1,s2
-6.0,   0.00000, 0.00003,   0.26421, -1.22297, 0.00000,  -0.00585,  	  -0.00000, -0.00001,   0.11188, -0.53289, 0.00000,  -0.00195,  	  100.20179, 60.00000, 0.00000,     	 0.00077, 0.01002,   25.68416,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, -0.00010,   0.06435, -1.22834, -1.00304,  -0.00195,  	  -0.00000, 0.00010,   0.21287, -0.52840, 0.47798,  -0.00390,  	  100.20174, 60.00000, 0.00000,     	 0.00986, 0.12268,   25.77880,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, -0.00024,   0.26134, -1.22834, -0.05272,  -0.00390,  	  0.00000, 0.00023,   0.33737, -0.52840, 1.00303,  -0.00585,  	  100.20174, 60.00000, 0.00000,     	 0.01784, 0.20852,   25.22591,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, 0.00001,   0.44582, -1.22834, 1.00309,  -0.00000,  	  0.00000, 0.00002,   0.30630, -0.52840, 1.00272,  -0.00000,  	  100.20174, 60.00000, 0.00000,     	 0.02228, 0.23719,   25.02711,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, 0.00017,   0.41562, -1.22834, 1.00377,  0.00585,  	  0.00000, 0.00009,   0.30561, -0.52840, 1.00374,  -0.00000,  	  100.20174, 60.00000, 0.00000,     	 0.02859, 0.28610,   24.69737,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, 0.00000,   0.42451, -1.22309, 1.00340,  0.00390,  	  0.00000, -0.00010,   -0.09846, -0.53267, -0.92529,  0.00390,  	  100.19193, 60.00000, 0.00000,     	 0.03363, 0.31399,   24.49747,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   0.00000, 0.00043,   0.04098, -1.22846, -1.00336,  -0.00332,  	  0.00000, -0.00028,   -0.14873, -0.52819, -1.00271,  0.00801,  	  100.19189, 60.00000, 0.00000,     	 0.03967, 0.35074,   24.23869,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   0.00000, -0.00016,   0.07731, -1.22846, -1.00669,  -0.00586,  	  -0.00000, -0.00033,   -0.10797, -0.52819, -1.00335,  0.00196,  	  100.19189, 60.00000, 0.00000,     	 0.04358, 0.35594,   24.17735,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00025,   0.05583, -1.22846, -1.00274,  -0.00195,  	  -0.00000, 0.00018,   0.37007, -0.52819, 1.00332,  -0.01171,  	  100.19189, 60.00000, 0.00000,     	 0.04465, 0.32371,   24.35268,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, 0.00018,   0.40072, -1.22309, 1.00301,  0.00781,  	  -0.00000, 0.00059,   0.38318, -0.53267, 1.00283,  -0.01366,  	  100.19193, 60.00000, 0.00000,     	 0.04681, 0.31046,   24.41127,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   0.00000, 0.00039,   0.44403, -1.22309, 1.00580,  -0.00352,  	  0.00000, -0.00029,   -0.14549, -0.53267, -1.00330,  0.01328,  	  100.19193, 60.00000, 0.00000,     	 0.05004, 0.31213,   24.37527,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   0.00000, -0.00066,   0.12017, -1.22846, -1.00976,  -0.01366,  	  -0.00001, -0.00075,   -0.10995, -0.52819, -1.00546,  0.00196,  	  100.19189, 60.00000, 0.00000,     	 0.05353, 0.31542,   24.32748,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00096,   0.04728, -1.22846, -1.00369,  -0.00001,  	  -0.00001, 0.00000,   0.10004, -0.52819, 0.09648,  0.00586,  	  100.19189, 60.00000, 0.00000,     	 0.05196, 0.25502,   24.68410,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, 0.00058,   0.39426, -1.22846, 1.00436,  0.00410,  	  -0.00001, 0.00048,   0.37241, -0.52819, 1.00420,  -0.00645,  	  100.19189, 60.00000, 0.00000,     	 0.05468, 0.25719,   24.65086,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   0.00000, 0.00077,   0.42393, -1.22758, 1.00406,  0.00742,  	  -0.00001, 0.00030,   -0.05861, -0.53804, -1.00405,  0.00117,  	  100.19209, 60.00000, 0.00000,     	 0.05318, 0.20540,   24.95736,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   0.00001, -0.00001,   0.44306, -1.22309, 1.00307,  -0.00176,  	  -0.00001, -0.00021,   -0.11593, -0.53267, -1.00401,  0.00566,  	  100.19193, 60.00000, 0.00000,     	 0.05604, 0.21520,   24.87857,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, -0.00039,   0.08887, -1.22846, -1.00392,  -0.00781,  	  -0.00001, -0.00016,   0.22299, -0.52819, 1.00603,  0.00820,  	  100.19189, 60.00000, 0.00000,     	 0.05550, 0.18164,   25.07348,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, -0.00018,   0.06819, -1.22846, -1.00517,  -0.00391,  	  -0.00001, -0.00020,   0.32509, -0.52819, 1.00289,  -0.00918,  	  100.19189, 60.00000, 0.00000,     	 0.05627, 0.16863,   25.14151,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   0.00000, 0.00062,   0.36032, -1.22846, 0.98555,  0.01172,  	  -0.00001, 0.00058,   -0.02975, -0.52819, -1.00351,  -0.00254,  	  100.19189, 60.00000, 0.00000,     	 0.05454, 0.12604,   25.39817,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   0.00000, 0.00018,   0.39967, -1.22309, 1.00500,  0.01133,  	  -0.00000, 0.00015,   0.30916, -0.53267, 1.00394,  -0.00039,  	  100.19193, 60.00000, 0.00000,     	 0.05420, 0.10584,   25.51640,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   0.00000, 0.00010,   0.05958, -1.21785, -1.00372,  -0.00703,  	  -0.00001, -0.00024,   -0.10291, -0.53695, -1.00318,  0.00723,  	  100.18211, 60.00000, 0.00000,     	 0.05375, 0.08752,   25.62344,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, -0.00060,   0.10995, -1.22321, -1.00306,  -0.00293,  	  -0.00001, -0.00044,   0.23187, -0.53246, 1.00369,  0.00449,  	  100.18207, 60.00000, 0.00000,     	 0.05016, 0.03266,   25.96506,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, 0.00037,   0.01307, -1.22393, -1.00294,  0.00234,  	  -0.00001, -0.00016,   -0.10921, -0.52265, -1.00378,  0.00586,  	  100.18635, 60.00000, 0.00000,     	 0.04435, -0.04406,   26.44882,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   0.00001, 0.00057,   -0.03189, -1.21861, -1.00348,  0.00840,  	  -0.00001, -0.00000,   -0.06572, -0.52730, -1.00682,  -0.00586,  	  100.19176, 60.00000, 0.00000,     	 0.04174, -0.07299,   26.63459,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
