time,x,vx,u0,roll,roll_sp,gx,y,vy,u1,pitch,pitch_sp,gy,yaw,yaw_sp,u2,z,vz,tm,rollgain,pitchgain,gxgain,gygain,s0,s1,s2
0.0,   -0.00000, -0.00008,   0.43253, -1.24992, 1.00365,  0.00000,  	  0.00000, 0.00009,   0.34714, -0.73500, 1.00341,  0.00000,  	  112.60329, 60.00000, 0.00000,     	 0.01735, 0.21184,   25.21153,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.0,   -0.00000, 0.00003,   0.45050, -1.24992, 1.00287,  0.00000,  	  0.00000, 0.00002,   0.33448, -0.73500, 0.93405,  0.00000,  	  112.60329, 60.00000, 0.00000,     	 0.02724, 0.30974,   24.57387,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.0,   -0.00000, -0.00005,   0.45055, -1.24992, 1.00294,  0.00000,  	  0.00000, 0.00005,   0.33551, -0.73500, 0.96500,  0.00000,  	  112.60329, 60.00000, 0.00000,     	 0.03574, 0.37805,   24.11604,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.0,   -0.00000, -0.00006,   0.45057, -1.24992, 1.00301,  0.00000,  	  0.00000, 0.00006,   0.34756, -0.73500, 1.00303,  0.00000,  	  112.60329, 60.00000, 0.00000,     	 0.04510, 0.44988,   23.63123,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00000, -0.00003,   0.45051, -1.24992, 1.00272,  0.00000,  	  0.00000, 0.00030,   0.34757, -0.73500, 1.00292,  0.00000,  	  112.60329, 60.00000, 0.00000,     	 0.05513, 0.51845,   23.15949,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00000, 0.00023,   0.45139, -1.25379, 1.00321,  0.00000,  	  0.00001, -0.00008,   0.34872, -0.74082, 1.00286,  0.00000,  	  112.60348, 60.00000, 0.00000,     	 0.06122, 0.52957,   23.04689,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00000, -0.00046,   0.05857, -1.25379, -1.00407,  0.00000,  	  0.00000, -0.00028,   -0.05149, -0.74082, -1.00327,  0.00000,  	  112.60348, 60.00000, 0.00000,     	 0.06576, 0.52189,   23.05270,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, 0.00044,   0.04992, -1.25379, -1.00431,  0.00000,  	  0.00000, 0.00026,   0.32937, -0.74082, 1.00655,  0.00000,  	  112.60348, 60.00000, 0.00000,     	 0.06646, 0.46625,   23.36425,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, -0.00018,   0.45149, -1.25379, 1.00903,  0.00000,  	  0.00001, 0.00063,   0.38626, -0.74082, 1.00416,  -0.00977,  	  112.60348, 60.00000, 0.00000,     	 0.07109, 0.46458,   23.33717,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, 0.00030,   0.21194, -1.25379, -0.26056,  -0.00000,  	  0.00001, -0.00029,   0.28137, -0.74082, 1.00329,  0.01172,  	  112.60348, 60.00000, 0.00000,     	 0.07199, 0.41759,   23.59655,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, -0.00021,   0.07156, -1.25575, -1.00365,  -0.00390,  	  0.00001, -0.00020,   -0.07644, -0.73130, -1.00348,  0.00391,  	  112.60910, 60.00000, 0.00000,     	 0.06851, 0.32076,   24.17570,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, -0.00018,   0.45606, -1.25945, 1.00403,  -0.00391,  	  0.00001, -0.00010,   0.33719, -0.73714, 1.00462,  0.00195,  	  112.61315, 60.00000, 0.00000,     	 0.06702, 0.26225,   24.52215,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   -0.00001, 0.00076,   -0.00726, -1.25945, -1.00386,  0.01171,  	  0.00001, 0.00009,   0.00829, -0.73714, -1.00572,  -0.00780,  	  112.61315, 60.00000, 0.00000,     	 0.06827, 0.24469,   24.61078,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.1,   0.00000, 0.00037,   0.32937, -1.25363, 0.62762,  0.00781,  	  0.00001, 0.00056,   -0.00822, -0.74102, -1.00588,  -0.00781,  	  112.61318, 60.00000, 0.00000,     	 0.06766, 0.20665,   24.83274,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, 0.00020,   0.46155, -1.25363, 1.00527,  -0.00195,  	  0.00001, 0.00028,   -0.04126, -0.74102, -1.00367,  -0.00195,  	  112.61318, 60.00000, 0.00000,     	 0.06757, 0.18001,   24.98558,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00000, -0.00028,   0.12669, -1.25945, -1.00538,  -0.00977,  	  0.00001, -0.00053,   0.26131, -0.73714, 1.00435,  0.01172,  	  112.61315, 60.00000, 0.00000,     	 0.06571, 0.13188,   25.27423,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00000, -0.00046,   0.11634, -1.26141, -1.00434,  -0.01171,  	  0.00001, -0.00057,   -0.07046, -0.72762, -1.00389,  0.00587,  	  112.61878, 60.00000, 0.00000,     	 0.06299, 0.08357,   25.57107,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00000, 0.00062,   0.00824, -1.26141, -1.00583,  0.00961,  	  0.00000, -0.00009,   0.30878, -0.72762, 1.00482,  0.00590,  	  112.61878, 60.00000, 0.00000,     	 0.06023, 0.03841,   25.85089,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, 0.00098,   0.36780, -1.26141, 1.00390,  0.01171,  	  0.00001, 0.00062,   -0.03384, -0.72762, -1.00654,  -0.00390,  	  112.61878, 60.00000, 0.00000,     	 0.05979, 0.02950,   25.90538,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, -0.00032,   0.42915, -1.25171, 1.00358,  0.00390,  	  0.00001, 0.00036,   -0.02541, -0.72567, -1.00441,  -0.00585,  	  112.61862, 60.00000, 0.00000,     	 0.05553, -0.02731,   26.26349,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, -0.00096,   0.10186, -1.25187, -1.00366,  -0.00586,  	  0.00001, -0.00038,   0.31337, -0.72547, 1.00379,  0.00585,  	  112.60891, 60.00000, 0.00000,     	 0.05369, -0.04713,   26.39097,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, 0.00019,   0.09537, -1.25767, -1.00438,  -0.00781,  	  0.00001, -0.00038,   0.31098, -0.72141, 1.00413,  0.00586,  	  112.60307, 60.00000, 0.00000,     	 0.05195, -0.06287,   26.49466,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, 0.00054,   0.01920, -1.25396, -1.00387,  0.00585,  	  0.00000, 0.00009,   0.25555, -0.71539, 0.69540,  0.00195,  	  112.59318, 60.00000, 0.00000,     	 0.05338, -0.03732,   26.33744,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.2,   0.00001, -0.00010,   0.32318, -1.24424, 1.00364,  0.02147,  	  0.00000, 0.00001,   -0.04839, -0.71326, -1.00548,  -0.00195,  	  112.58721, 60.00000, 0.00000,     	 0.04947, -0.08318,   26.63050,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, 0.00035,   0.40872, -1.23487, 1.00313,  0.00587,  	  0.00000, -0.00040,   0.28219, -0.71093, 1.00287,  0.00976,  	  112.56763, 60.00000, 0.00000,     	 0.04578, -0.11844,   26.86173,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, -0.00018,   0.03320, -1.23097, -1.00278,  0.00196,  	  0.00000, -0.00017,   -0.05989, -0.70493, -1.00308,  0.00000,  	  112.56163, 60.00000, 0.00000,     	 0.04231, -0.14855,   27.06024,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, -0.00029,   0.08956, -1.23099, -1.00353,  -0.00781,  	  -0.00000, 0.00002,   0.39431, -0.70510, 1.00330,  -0.00976,  	  112.56745, 60.00000, 0.00000,     	 0.04061, -0.15235,   27.09631,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00000, 0.00014,   0.07155, -1.23067, -1.00347,  -0.00391,  	  -0.00000, -0.00003,   0.34175, -0.70550, 1.00538,  0.00000,  	  112.58686, 60.00000, 0.00000,     	 0.03766, -0.16993,   27.22013,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, 0.00026,   0.06392, -1.23441, -0.91031,  -0.00000,  	  -0.00000, 0.00011,   -0.04534, -0.71170, -1.00376,  -0.00196,  	  112.60257, 60.00000, 0.00000,     	 0.03269, -0.21148,   27.49647,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, 0.00036,   0.37042, -1.23053, 0.96391,  0.01171,  	  -0.00000, 0.00005,   -0.03708, -0.70588, -1.00331,  -0.00391,  	  112.60240, 60.00000, 0.00000,     	 0.02891, -0.23140,   27.64109,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, -0.00054,   0.46585, -1.22875, 1.00369,  -0.00390,  	  -0.00000, 0.00013,   -0.03411, -0.71539, -1.00289,  -0.00391,  	  112.59289, 60.00000, 0.00000,     	 0.03086, -0.17615,   27.31110,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
0.3,   0.00001, -0.00051,   0.52330, -1.22889, 1.00498,  -0.01367,  	  0.00000, 0.00029,   0.01424, -0.71501, -0.95494,  -0.00781,  	  112.57736, 60.00000, 0.00000,     	 0.02995, -0.16301,   27.24382,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,2    
