X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
0.01402, -0.01042,   0.05529, 1.07922, -0.07649,          0.01613, 0.02230,   -1.49585, 3.87605, 0.18901,         33.29429, 60.00000, 0.06269,            0.19951, 0.21478, 0.37157,   21.89812, 1496,      3,3,3    
0.01380, -0.06575,   -0.04857, 1.03971, -0.04756,         0.01607, -0.04131,   -1.58745, 3.99088, -0.09307,       33.71104, 60.00000, 0.05613,            0.23939, 0.21980, 0.30392,   22.30107, 1502,      3,3,3    
0.01249, -0.10999,   0.03588, 1.02666, -0.06596,          0.01523, -0.07144,   -1.45690, 4.04755, -0.29111,       34.05567, 60.00000, 0.05064,            0.22940, 0.22469, 0.33736,   22.02599, 1498,      3,3,3    
0.01152, -0.13724,   -0.43887, 1.01796, -0.24676,         0.01476, 0.00426,   -1.69454, 4.11270, -0.23058,        34.39834, 60.00000, 0.05667,            0.24932, 0.23146, 0.34834,   21.88837, 1496,      3,3,3    
0.01113, 0.00486,   0.10446, 0.97973, 0.03093,            0.01480, -0.02434,   -1.42090, 4.17643, 0.11701,        34.75094, 60.00000, 0.04947,            0.21939, 0.23305, 0.39700,   21.54246, 1491,      3,3,3    
0.01097, -0.12935,   0.32040, 0.95990, 0.04406,           0.01404, -0.15814,   -1.88342, 4.22248, -0.53296,       34.91839, 60.00000, 0.04955,            0.22934, 0.23556, 0.43593,   21.26207, 1487,      3,3,3    
0.00934, -0.12662,   0.16345, 0.91519, -0.14324,          0.01290, -0.04713,   -1.79657, 4.30583, -0.32170,       35.25522, 60.00000, 0.04645,            0.24926, 0.24216, 0.45031,   21.09713, 1485,      3,3,3    
0.00775, -0.12057,   0.15996, 0.86781, -0.13209,          0.01205, -0.05041,   -1.60865, 4.37356, -0.32575,       35.58533, 60.00000, 0.04469,            0.24924, 0.25021, 0.49896,   20.68758, 1479,      3,3,3    
0.00651, -0.09093,   0.02973, 0.80248, -0.06062,          0.01129, -0.06664,   -1.72272, 4.48020, -0.28733,       36.05404, 60.00000, 0.04579,            0.25919, 0.25805, 0.48333,   20.71451, 1479,      3,3,3    
0.00496, -0.21387,   0.08421, 0.76296, -0.14742,          0.01030, -0.14231,   -1.83725, 4.54281, -0.80009,       36.38433, 60.00000, 0.04439,            0.27911, 0.26640, 0.51969,   20.38823, 1475,      3,3,3    
0.00288, -0.14227,   0.68389, 0.68770, -0.13180,          0.00891, -0.08124,   -1.66100, 4.60084, -0.49659,       36.71338, 60.00000, 0.04159,            0.25915, 0.26971, 0.49711,   20.50581, 1476,      3,3,3    
